node,betweenness
0,1192496.113079
1,22.685643
2,0.619048
3,13.734470
4,1.500000
5,17.980159
6,0.200000
7,1388.052362
8,2.250000
9,134.113593
10,0.406454
11,0.000000
12,0.000000
13,14.363754
14,4.550433
15,0.000000
16,1.628466
17,3.347222
18,0.000000
19,41.266667
20,5.537338
21,7645.558165
22,5.463418
23,55.916667
24,1.114484
25,439.166654
26,157.751705
27,0.250000
28,3.107179
29,11.374158
30,11.162084
31,40.204494
32,0.000000
33,0.000000
34,29359.550513
35,0.000000
36,0.222222
37,0.000000
38,5.986268
39,7.782807
40,112.447584
41,38.090476
42,0.000000
43,0.000000
44,0.000000
45,2.465054
46,0.000000
47,0.000000
48,43.124176
49,1.500000
50,4.185767
51,0.750000
52,0.000000
53,88.428879
54,2.944048
55,1.480248
56,8844.048309
57,12.518687
58,687594.983375
59,5.929471
60,0.615064
61,0.500000
62,23.360580
63,0.000000
64,104.503388
65,5.619033
66,0.777761
67,7432.235407
68,1.200000
69,1.617175
70,0.000000
71,0.000000
72,14.773236
73,4.904004
74,0.000000
75,2.077692
76,0.000000
77,2.083333
78,0.000000
79,0.170111
80,1300.866238
81,0.500000
82,59.982885
83,0.750000
84,11.353549
85,4.101945
86,0.000000
87,377.040412
88,37.084444
89,2.700000
90,0.000000
91,2.250000
92,5.577525
93,0.766667
94,17.426885
95,0.500000
96,6.386880
97,0.333333
98,55.039780
99,6.652381
100,4.333333
101,6.431349
102,0.000000
103,767.718040
104,24.578727
105,3.328335
106,2.965873
107,3916560.144441
108,2.837734
109,47.173484
110,0.000000
111,12.465873
112,0.000000
113,42.622752
114,0.000000
115,27.171861
116,9.420274
117,1.708333
118,46.413848
119,12412.998093
120,364.630094
121,8.485574
122,6078.599065
123,4.012338
124,1.333333
125,67.131504
126,1.375000
127,5.192496
128,19.836679
129,0.366667
130,20.600011
131,0.000000
132,16.168802
133,14.709090
134,5.154388
135,0.000000
136,219012.322130
137,17.224603
138,0.000000
139,0.100000
140,0.746825
141,21.888484
142,42.121056
143,9.385714
144,6.876623
145,0.000000
146,1152.137792
147,0.200000
148,19.592615
149,2.986508
150,776.342961
151,0.277778
152,1.500000
153,0.000000
